,num_languages,speaks_english,gender_tuned,income_level,num_teaches,num_ratings,avg_rating,price,is_featured,first_letter,position
604,5,1,1,-0.7748697314615107,1,14.0,5.0,-0.42492455935846907,1,0.04,3
1165,3,1,1,1.310965329697479,1,0.0,0.0,-0.038651815246294484,1,0.4,3
909,3,1,1,1.1544823704040392,1,9.0,4.9,2.407742230797478,1,0.16,3
1852,6,1,1,0.5811327307828479,1,66.0,4.7,2.407742230797478,1,0.24,3
2207,3,1,1,-0.8884952671755673,1,3.0,5.0,-0.2961669779877442,1,0.44,3
5316,2,1,1,-0.36895422355331076,1,41.0,5.0,0.7338936729780547,0,0.44,3
26,2,1,1,-0.8252373973240489,1,6.0,5.0,-0.038651815246294484,1,0.0,3
1287,4,1,1,-1.0283343464620052,1,12.0,4.9,-0.9399548848413686,1,0.48,3
3881,4,1,0,-0.7522222483432779,1,21.0,4.9,2.150227068056028,1,0.48,3
6692,2,1,1,0.5046765858877185,2,21.0,4.9,1.506439161202404,1,0.96,3
314,3,1,1,1.3123254414621046,1,0.0,0.0,-0.9399548848413686,1,0.32,3
2838,6,1,1,-0.7087545525493496,1,51.0,5.0,-0.16740939661701934,1,0.44,3
990,5,1,1,-1.1409684677794216,1,33.0,4.8,0.21886334749515524,1,0.36,3
3938,4,1,1,-1.1069079318993653,1,11.0,4.9,-0.553682140729194,1,0.76,3
4877,5,1,1,0.9694187341863847,1,10.0,5.0,1.1201664170902292,1,0.4,3
5278,3,1,0,0.38043203117706714,1,31.0,4.9,0.09010576612443039,0,0.08,4
1830,2,1,1,0.5811327307828479,1,7.0,5.0,0.7338936729780547,0,0.16,4
6654,4,1,1,0.5046765858877185,1,0.0,0.0,1.2489239984609541,0,0.28,4
3891,2,1,1,-0.7522222483432779,1,13.0,4.8,-0.553682140729194,0,0.76,4
2944,1,1,0,2.3552722741594767,1,38.0,4.8,0.09010576612443039,0,0.12,4
3919,3,1,1,-1.1069079318993653,1,8.0,5.0,0.21886334749515524,0,0.96,4
3177,3,1,1,-0.38898043012482086,1,5.0,5.0,-0.6824397220999188,0,0.48,4
4489,2,1,0,-0.6894240089953977,1,3.0,4.8,0.21886334749515524,0,0.08,4
1033,3,1,0,-1.1409684677794216,1,21.0,5.0,-0.9399548848413686,0,0.72,4
1276,2,1,0,-1.0283343464620052,2,7.0,5.0,-0.2961669779877442,0,0.0,4
640,5,1,0,-0.7748697314615107,1,11.0,5.0,-0.2961669779877442,0,0.44,4
1112,4,1,1,-0.33148338406549666,1,1.0,4.8,0.7338936729780547,0,0.68,4
3674,2,1,1,-1.0900939014560276,1,4.0,5.0,0.21886334749515524,0,0.48,4
4861,3,1,1,0.9694187341863847,1,5.0,4.9,0.21886334749515524,0,0.96,4
6323,5,1,1,1.2984659381360757,1,12.0,4.9,2.922772556280377,0,0.72,4
1086,2,1,1,-0.5423873264804793,1,3.0,5.0,-0.2961669779877442,0,0.72,4
39,3,1,1,-0.8252373973240489,1,49.0,4.9,0.09010576612443039,0,0.4,4
2526,5,1,1,-0.1737759102087169,1,13.0,4.9,7.171772741514298,0,0.4,4
2399,3,1,1,-1.0546974204352104,2,77.0,4.8,-0.038651815246294484,0,0.56,4
935,2,1,1,1.1544823704040392,1,17.0,4.5,0.7338936729780547,0,0.16,4
1184,4,1,0,1.637954986843218,1,8.0,5.0,1.506439161202404,0,0.76,4
346,4,1,1,1.3123254414621046,1,13.0,4.9,0.7338936729780547,0,0.84,4
2848,4,1,1,2.3552722741594767,1,1.0,5.0,-0.16740939661701934,0,0.32,5
2440,3,1,1,1.084667775376764,1,5.0,5.0,0.9914088357195044,0,0.96,5
4467,1,1,1,-0.6894251569287025,1,5.0,5.0,1.2489239984609541,0,0.96,5
6298,2,1,1,1.2984659381360757,1,6.0,5.0,2.922772556280377,0,0.48,5
50,3,1,1,-0.8252373973240489,1,7.0,5.0,-0.038651815246294484,0,0.36,5
3901,2,1,0,-0.7522222483432779,1,1.0,5.0,0.21886334749515524,0,0.72,5
4850,3,1,0,0.9694187341863847,1,32.0,4.9,0.9914088357195044,0,0.72,5
1096,1,1,0,-1.2290686487642704,1,0.0,0.0,-1.454985210324268,0,0.72,5
5267,2,1,0,-0.7068873203632501,1,0.0,0.0,-0.42492455935846907,0,0.36,5
3173,3,1,1,-0.38898043012482086,2,10.0,5.0,-0.038651815246294484,0,0.48,5
3660,2,1,1,0.023019285175336267,1,2.0,5.0,-1.0687124662120935,0,0.16,5
903,4,1,1,1.1544823704040392,1,4.0,4.6,1.1201664170902292,0,0.16,5
3928,3,1,1,-1.1069079318993653,1,1.0,5.0,-0.038651815246294484,0,0.84,5
723,3,1,1,0.029229734914315377,1,11.0,4.7,0.21886334749515524,0,0.48,5
1259,2,1,1,-1.0283343464620052,1,10.0,4.9,-1.0687124662120935,0,0.72,5
1812,5,1,1,-0.6162165468863823,1,44.0,4.9,0.9914088357195044,0,0.0,5
324,5,1,0,1.3123254414621046,1,0.0,0.0,-0.6824397220999188,0,0.04,5
1204,5,1,0,1.310965329697479,1,7.0,4.8,0.21886334749515524,0,0.12,5
1080,3,1,1,-0.5423873264804793,3,22.0,4.6,-0.038651815246294484,0,0.0,5
2507,2,1,1,-0.1737759102087169,1,12.0,4.7,0.7338936729780547,0,0.48,5
1005,4,1,1,-1.1409684677794216,1,10.0,5.0,-0.9399548848413686,0,0.72,5
6596,3,1,1,0.5046765858877185,1,18.0,5.0,1.2489239984609541,0,0.28,5
1235,2,1,1,-1.0283343464620052,2,25.0,4.7,-0.9399548848413686,0,0.72,6
3625,2,1,0,-1.0600470866597649,1,8.0,5.0,-0.2961669779877442,0,0.96,6
4944,2,1,1,0.38043203117706714,1,17.0,5.0,0.09010576612443039,0,0.48,6
1118,5,1,1,-0.6162165468863823,2,10.0,4.9,-0.16740939661701934,0,0.84,6
3056,1,1,1,-1.0643205366989263,1,4.0,5.0,-0.6824397220999188,0,0.48,6
588,4,1,0,0.029229734914315377,1,8.0,5.0,0.21886334749515524,0,0.6,6
3925,2,1,1,-1.1069079318993653,1,7.0,4.8,-0.2961669779877442,0,0.4,6
2090,4,1,1,-0.6162165468863823,1,3.0,5.0,-0.6824397220999188,0,0.48,6
1088,4,1,1,-1.007978710582423,1,1.0,5.0,-0.2961669779877442,0,0.56,6
1193,5,1,0,1.084667775376764,3,121.0,4.8,0.9914088357195044,0,0.2,6
1772,4,1,1,0.5811327307828479,1,7.0,5.0,3.051530137651102,0,0.44,6
953,4,1,1,1.1544823704040392,1,3.0,5.0,1.2489239984609541,0,1.0,6
1002,2,1,1,-1.1409684677794216,1,5.0,5.0,0.7338936729780547,0,0.68,6
4824,2,1,0,0.9694187341863847,1,9.0,5.0,-0.42492455935846907,0,0.76,6
3854,3,1,1,-0.7522222483432779,1,4.0,5.0,-0.8111973034706437,0,0.24,6
6507,2,1,0,0.5046765858877185,1,2.0,5.0,-0.038651815246294484,0,0.36,6
447,3,1,1,1.3123254414621046,1,1.0,5.0,0.7338936729780547,0,0.48,6
44,2,1,1,-0.8252373973240489,1,13.0,4.9,-0.038651815246294484,0,0.76,6
2478,5,1,0,-0.1737759102087169,1,13.0,4.8,0.34762092886588014,0,0.76,6
3223,3,1,0,-0.38898043012482086,1,3.0,5.0,0.34762092886588014,0,0.36,6
4431,2,1,1,-0.6894251569287025,1,12.0,4.8,-0.16740939661701934,0,0.44,6
6233,4,1,1,0.9830859694716702,1,2.0,5.0,0.09010576612443039,0,0.48,6
6584,3,1,1,0.5046765858877185,1,0.0,0.0,1.2489239984609541,0,0.28,7
3265,3,1,0,-0.38898043012482086,1,3.0,5.0,-0.42492455935846907,0,0.36,7
5616,1,0,1,0.9830859694716702,1,3.0,5.0,0.7338936729780547,0,0.08,7
4019,2,1,1,1.2984659381360757,1,6.0,5.0,2.2789846494267527,0,0.72,7
3822,5,1,0,-0.38898043012482086,1,12.0,4.9,0.7338936729780547,0,0.0,7
955,3,1,1,1.1544823704040392,1,10.0,5.0,1.7639543239438535,0,0.56,7
1372,6,1,0,0.5811327307828479,1,14.0,4.7,0.7338936729780547,0,0.0,7
5456,3,1,1,0.38043203117706714,1,0.0,0.0,-0.6824397220999188,0,1.0,7
3330,3,1,1,0.38043203117706714,1,0.0,0.0,-0.9399548848413686,0,0.68,7
1028,2,1,1,-1.1409684677794216,1,8.0,5.0,-1.0687124662120935,0,0.0,7
5,3,1,1,-0.8252373973240489,1,5.0,5.0,-0.42492455935846907,0,0.88,7
1257,2,1,0,-1.0283343464620052,1,8.0,5.0,-1.1974700475828182,0,0.4,7
1119,4,1,1,-0.8470844266595038,1,0.0,0.0,-0.42492455935846907,0,0.24,7
2403,6,1,1,-0.6162165468863823,1,1.0,5.0,-0.553682140729194,0,0.48,7
1128,5,1,1,-0.6162165468863823,1,0.0,0.0,0.7338936729780547,0,0.48,7
341,4,1,1,1.3123254414621046,1,4.0,5.0,0.7338936729780547,0,0.48,7
2745,1,1,1,1.084667775376764,1,1.0,5.0,-0.2961669779877442,0,0.36,7
704,3,1,1,-0.7748697314615107,1,20.0,4.9,0.21886334749515524,0,0.32,7
4594,2,1,0,0.9694187341863847,1,15.0,4.9,1.2489239984609541,0,0.4,7
1090,3,1,0,-0.5423873264804793,1,4.0,5.0,-0.6824397220999188,0,0.24,7
3929,3,1,1,-1.1069079318993653,1,5.0,4.8,-0.9399548848413686,0,0.6,7
2505,3,1,1,-0.1737759102087169,1,3.0,5.0,-0.038651815246294484,0,0.48,7
5771,3,1,1,0.9830859694716702,1,12.0,4.9,0.7338936729780547,0,0.0,8
1227,2,1,0,-1.0283343464620052,2,11.0,4.9,-0.2961669779877442,0,0.28,8
4125,3,1,1,-0.6894240089953977,1,21.0,4.9,1.2489239984609541,0,0.96,8
4661,2,1,1,0.9694187341863847,1,7.0,4.8,0.21886334749515524,0,0.48,8
3411,3,1,1,-0.8319199150782607,1,6.0,4.8,0.7338936729780547,0,0.52,8
1176,4,1,0,1.637954986843218,1,1.0,5.0,0.21886334749515524,0,0.72,8
1093,3,1,0,-1.007978710582423,1,2.0,5.0,-0.6824397220999188,0,0.6,8
5008,3,1,1,-0.7068873203632501,1,1.0,5.0,-0.42492455935846907,0,0.96,8
940,3,1,1,1.1544823704040392,1,15.0,4.8,2.407742230797478,0,0.28,8
34,2,1,1,-0.8252373973240489,1,2.0,5.0,-1.0687124662120935,0,0.4,8
1478,5,1,1,0.5811327307828479,1,39.0,4.8,-0.42492455935846907,0,0.72,8
1114,2,1,0,-0.7522222483432779,1,4.0,4.9,-0.42492455935846907,0,0.28,8
1915,4,1,1,-0.6162165468863823,1,2.0,5.0,0.7338936729780547,0,0.0,8
304,1,0,1,1.3123254414621046,1,1.0,5.0,0.6051360916073298,0,0.36,8
978,2,1,1,-1.1409684677794216,1,5.0,5.0,-0.038651815246294484,0,0.0,8
3201,4,1,1,-0.38898043012482086,1,1.0,5.0,-0.6824397220999188,0,0.0,8
6487,3,1,1,0.5046765858877185,1,10.0,5.0,-0.16740939661701934,0,0.72,8
3889,4,1,1,-0.7522222483432779,1,16.0,4.8,-0.2961669779877442,0,0.52,8
748,5,1,1,0.029229734914315377,1,14.0,4.9,0.8626512543487795,0,0.04,8
3080,1,1,0,-0.925112651112598,1,23.0,4.8,-0.9399548848413686,0,0.08,8
3922,2,1,1,-1.1069079318993653,1,2.0,5.0,-0.8111973034706437,0,0.52,8
2477,5,1,1,-0.1737759102087169,1,9.0,5.0,-0.2961669779877442,0,0.0,9
1147,4,1,1,0.5811327307828479,1,4.0,5.0,0.9914088357195044,0,0.32,9
952,3,1,0,1.1544823704040392,1,2.0,5.0,0.09010576612443039,0,0.52,9
5554,4,1,1,0.9830859694716702,1,21.0,4.9,0.7338936729780547,0,1.0,9
663,3,1,1,-0.7748697314615107,1,2.0,5.0,3.4378028817632766,0,0.0,9
16,2,1,1,-0.8252373973240489,1,4.0,5.0,-0.2961669779877442,0,0.04,9
1117,3,1,0,-0.7522222483432779,2,10.0,4.8,-0.9399548848413686,0,0.0,9
6510,3,1,1,0.5046765858877185,1,52.0,4.8,1.2489239984609541,0,0.72,9
2088,6,1,1,-0.6162165468863823,1,0.0,0.0,0.7338936729780547,0,0.0,9
1333,5,1,1,0.5811327307828479,1,8.0,4.9,2.2789846494267527,0,0.84,9
3927,5,1,1,-1.1069079318993653,1,1.0,5.0,-0.9399548848413686,0,0.76,9
3301,2,1,0,-1.0600470866597649,1,6.0,5.0,0.21886334749515524,0,0.0,9
3978,4,1,1,2.3552722741594767,1,0.0,0.0,1.2489239984609541,0,0.32,9
3200,2,1,1,-0.38898043012482086,1,1.0,5.0,-0.2961669779877442,0,0.16,9
5175,5,1,0,0.38043203117706714,1,10.0,5.0,2.407742230797478,0,5.12,9
2645,3,1,1,-0.7087545525493496,1,2.0,5.0,-0.2961669779877442,0,0.96,9
215,6,1,1,1.3123254414621046,1,1.0,5.0,0.7338936729780547,0,0.52,9
1234,1,1,1,-1.0283343464620052,1,1.0,5.0,-0.9399548848413686,0,0.0,9
4572,3,1,1,2.3552722741594767,1,4.0,5.0,1.7639543239438535,0,0.44,9
3833,2,1,1,-0.7522222483432779,1,18.0,4.9,0.7338936729780547,0,0.12,9
1004,2,1,1,-1.1409684677794216,1,13.0,5.0,0.7338936729780547,0,0.84,9
1087,3,1,0,-1.007978710582423,2,20.0,4.9,-0.553682140729194,0,0.24,9
3897,2,1,0,-0.7522222483432779,1,48.0,4.8,1.2489239984609541,0,0.4,10
6533,3,1,1,0.5046765858877185,1,9.0,4.9,1.1201664170902292,0,0.32,10
1071,2,1,1,-1.1409684677794216,1,9.0,4.5,-0.9399548848413686,0,0.72,10
389,4,1,1,3.278941434948302,1,3.0,5.0,2.0214694866853034,0,0.0,10
1199,6,1,1,1.637954986843218,1,0.0,0.0,0.34762092886588014,0,0.36,10
1095,4,1,1,-0.5423873264804793,1,1.0,5.0,0.09010576612443039,0,0.68,10
6006,5,1,1,0.9830859694716702,1,2.0,5.0,3.4378028817632766,0,0.72,10
3917,3,1,1,-1.1069079318993653,1,3.0,5.0,-0.8111973034706437,0,0.48,10
1244,2,1,0,-1.0283343464620052,1,7.0,4.7,-0.9399548848413686,0,0.04,10
1102,3,1,0,-0.40831245846826514,1,2.0,5.0,-0.6824397220999188,0,0.0,10
5019,2,1,1,-0.9014748847131153,1,22.0,4.9,-0.42492455935846907,0,0.0,10
696,3,1,1,0.029229734914315377,1,8.0,4.6,-0.16740939661701934,0,0.2,10
48,2,1,1,-0.8252373973240489,1,12.0,4.8,-0.2961669779877442,0,0.6,10
1623,2,1,1,0.5811327307828479,1,130.0,4.8,1.2489239984609541,0,0.48,10
4279,2,1,0,-0.6894251569287025,1,21.0,4.5,0.7338936729780547,0,0.48,10
2929,1,1,0,2.3552722741594767,1,3.0,5.0,-0.42492455935846907,0,0.16,10
916,6,1,1,1.1544823704040392,1,6.0,4.5,1.2489239984609541,0,0.48,10
3246,4,1,1,-0.38898043012482086,3,14.0,4.8,1.1201664170902292,0,0.0,10
1984,2,1,1,-0.6162165468863823,1,16.0,5.0,-0.2961669779877442,0,0.32,10
4746,3,1,0,0.9694187341863847,1,32.0,5.0,0.9914088357195044,0,0.68,10
3520,4,1,0,-1.0900939014560276,1,83.0,4.8,-0.2961669779877442,0,0.48,10
2489,3,1,1,-0.1737759102087169,1,11.0,4.7,1.2489239984609541,0,0.0,10
36,2,1,1,-0.8252373973240489,1,9.0,4.9,-0.16740939661701934,0,0.4,11
1181,16,1,0,-0.7748697314615107,11,34.0,4.8,-0.2961669779877442,0,0.2,11
5162,1,0,1,-0.36895422355331076,1,1.0,5.0,-0.9399548848413686,0,0.72,11
1056,3,1,0,-1.1409684677794216,1,0.0,0.0,-0.6824397220999188,0,0.72,11
4003,2,1,1,-0.6894251569287025,1,3.0,5.0,0.7338936729780547,0,0.44,11
931,2,1,1,1.1544823704040392,1,1.0,5.0,1.2489239984609541,0,1.0,11
3319,2,1,1,-1.0900939014560276,1,28.0,4.7,-1.1974700475828182,0,0.0,11
2168,6,1,1,-1.0546974204352104,1,0.0,0.0,-1.0687124662120935,0,0.4,11
6559,3,1,1,0.5046765858877185,1,7.0,5.0,0.21886334749515524,0,0.28,11
4586,4,1,1,0.9694187341863847,1,4.0,5.0,-0.2961669779877442,0,0.96,11
1251,3,1,1,-1.0283343464620052,1,2.0,5.0,-1.0687124662120935,0,0.28,11
370,6,1,0,1.3123254414621046,1,4.0,5.0,2.407742230797478,0,0.0,11
1110,4,1,1,-0.9972358477832092,1,4.0,5.0,-0.16740939661701934,0,0.16,11
3013,3,1,1,0.38043203117706714,1,1.0,5.0,-0.42492455935846907,0,0.32,11
2497,3,1,1,-0.1737759102087169,1,4.0,5.0,0.6051360916073298,0,0.76,11
727,1,0,1,-0.7748697314615107,1,18.0,4.9,0.7338936729780547,0,0.0,11
1081,3,1,0,-0.5423873264804793,1,1.0,5.0,0.7338936729780547,0,0.16,11
3754,4,1,1,-0.7522222483432779,1,2.0,5.0,-0.6824397220999188,0,0.48,11
5589,4,1,1,0.9830859694716702,1,2.0,5.0,2.6652573935389277,0,0.0,11
3179,4,1,0,-0.38898043012482086,1,23.0,4.9,0.21886334749515524,0,0.0,11
3942,4,1,0,-1.1069079318993653,1,1.0,5.0,-1.0687124662120935,0,0.36,11
1355,3,1,1,0.5811327307828479,1,8.0,5.0,1.2489239984609541,0,0.48,11
687,2,1,1,0.029229734914315377,1,11.0,4.9,1.1201664170902292,0,0.36,12
3693,3,1,0,-1.0900939014560276,1,51.0,4.9,0.21886334749515524,0,0.0,12
1286,3,1,1,-1.0283343464620052,1,4.0,5.0,-0.9399548848413686,0,0.72,12
2537,3,1,1,-0.1737759102087169,1,0.0,0.0,-0.16740939661701934,0,0.08,12
6357,3,1,1,1.310965329697479,1,0.0,0.0,-0.2961669779877442,0,0.44,12
6691,2,1,0,0.5046765858877185,1,3.0,4.8,1.1201664170902292,0,0.72,12
1061,2,1,0,-1.1409684677794216,1,49.0,4.9,-0.6824397220999188,0,0.6,12
4510,3,1,1,-0.6894251569287025,1,38.0,4.8,0.21886334749515524,0,0.96,12
1851,2,1,1,0.5811327307828479,1,8.0,5.0,-0.8111973034706437,0,0.68,12
5087,2,1,1,0.38043203117706714,1,3.0,5.0,0.9914088357195044,0,0.68,12
3930,1,1,1,-1.1069079318993653,1,2.0,5.0,-0.9399548848413686,0,0.52,12
1083,4,1,1,-1.007978710582423,4,3.0,4.8,0.7338936729780547,0,0.44,12
2413,1,1,0,-0.6162165468863823,1,1.0,5.0,0.21886334749515524,0,0.68,12
1129,5,1,0,1.637954986843218,1,8.0,4.6,1.1201664170902292,0,0.48,12
2578,1,1,1,2.3552722741594767,1,0.0,0.0,-0.6824397220999188,0,0.44,12
3730,4,1,1,-0.7522222483432779,1,9.0,4.8,0.21886334749515524,0,0.16,12
259,3,1,1,-0.7522222483432779,1,1.0,5.0,0.21886334749515524,0,0.24,12
908,4,1,0,1.1544823704040392,1,1.0,5.0,2.922772556280377,0,0.48,12
6,2,1,1,-0.8252373973240489,1,3.0,5.0,-0.038651815246294484,0,0.4,12
3232,2,1,1,-0.38898043012482086,1,3.0,5.0,0.21886334749515524,0,0.0,12
4876,3,1,1,0.9694187341863847,1,14.0,4.9,0.9914088357195044,0,0.72,12
1098,2,1,0,-1.1409684677794216,1,1.0,5.0,-1.1974700475828182,0,0.28,12
6067,2,1,1,0.9830859694716702,1,2.0,5.0,2.922772556280377,0,0.16,13
2793,2,1,1,2.3552722741594767,1,0.0,0.0,-0.553682140729194,0,0.72,13
359,3,1,1,1.3123254414621046,1,7.0,5.0,2.922772556280377,0,0.16,13
2411,3,1,0,-0.6162165468863823,2,15.0,4.9,1.2489239984609541,0,0.76,13
3807,4,1,1,-0.7522222483432779,1,6.0,4.5,-0.9399548848413686,0,0.04,13
1265,3,1,0,-1.0283343464620052,1,3.0,5.0,-0.9399548848413686,0,0.0,13
3940,2,1,1,-1.1069079318993653,1,1.0,5.0,-0.8111973034706437,0,0.52,13
1101,1,1,0,0.5811327307828479,1,0.0,0.0,-0.9399548848413686,0,0.16,13
1085,5,1,1,-0.5423873264804793,1,0.0,0.0,0.7338936729780547,0,0.48,13
3547,2,1,1,1.2984659381360757,1,6.0,4.9,0.7338936729780547,0,0.04,13
1041,2,1,1,-1.1409684677794216,2,15.0,4.7,-0.9399548848413686,0,0.0,13
644,4,1,1,0.029229734914315377,1,5.0,5.0,0.34762092886588014,0,0.32,13
2515,3,1,1,-0.1737759102087169,1,3.0,5.0,0.7338936729780547,0,0.72,13
5069,4,1,1,0.38043203117706714,1,38.0,5.0,4.33910595135835,0,0.76,13
46,2,1,0,2.3552722741594767,1,1.0,5.0,-0.2961669779877442,0,0.76,13
1197,3,1,1,1.637954986843218,1,1.0,5.0,1.7639543239438535,0,0.08,13
3180,5,1,1,-0.38898043012482086,1,6.0,5.0,0.34762092886588014,0,0.52,13
6616,4,1,1,0.5046765858877185,1,6.0,5.0,-0.16740939661701934,0,0.72,13
4764,2,1,1,0.9694187341863847,1,2.0,5.0,-0.2961669779877442,0,0.72,13
915,2,1,1,1.1544823704040392,1,2.0,5.0,3.4378028817632766,0,0.48,13
4321,2,1,1,-0.6894251569287025,1,6.0,5.0,1.1201664170902292,0,0.92,13
1665,2,1,0,0.5811327307828479,1,3.0,5.0,0.21886334749515524,0,0.12,13
1174,1,1,1,1.637954986843218,1,3.0,5.0,1.506439161202404,0,0.32,14
4627,2,1,0,0.9694187341863847,1,42.0,4.8,2.407742230797478,0,0.4,14
1089,3,1,1,-0.5423873264804793,1,0.0,0.0,-0.6824397220999188,0,0.44,14
688,3,1,1,0.029229734914315377,1,5.0,5.0,-0.9399548848413686,0,0.08,14
2545,3,1,0,-0.1737759102087169,1,3.0,5.0,-0.2961669779877442,0,0.08,14
33,2,1,1,-0.8252373973240489,1,3.0,5.0,-0.2961669779877442,0,0.6,14
2126,2,1,1,-0.6162165468863823,1,5.0,5.0,0.21886334749515524,0,0.72,14
334,4,1,1,3.278941434948302,1,1.0,5.0,2.407742230797478,0,0.36,14
3373,2,1,1,-1.0900939014560276,1,23.0,4.9,-0.9399548848413686,0,0.68,14
1293,2,1,0,-1.0283343464620052,1,2.0,5.0,-0.9399548848413686,0,0.76,14
1106,2,1,0,1.1274431184055305,1,3.0,5.0,-1.454985210324268,0,0.48,14
3924,2,1,1,2.3552722741594767,1,0.0,0.0,1.2489239984609541,0,0.72,14
3026,3,1,0,0.38043203117706714,1,2.0,5.0,-0.42492455935846907,0,0.12,14
5244,2,1,0,-0.36895422355331076,1,20.0,5.0,-0.553682140729194,0,0.24,14
1427,5,1,1,0.5811327307828479,1,14.0,4.9,1.7639543239438535,0,0.6,14
3233,2,1,1,-0.38898043012482086,1,2.0,5.0,-0.2961669779877442,0,0.32,14
4072,2,1,1,-0.6894251569287025,1,6.0,5.0,-0.2961669779877442,0,0.36,14
5700,2,1,1,-1.1737273775200514,2,94.0,4.8,0.34762092886588014,0,0.44,14
3798,2,1,0,-0.7522222483432779,1,0.0,0.0,-1.454985210324268,0,0.48,14
1013,3,1,1,-1.1409684677794216,1,8.0,5.0,-0.9399548848413686,0,0.0,14
