,position,language,gender_tuned,income_level,price
93,23,German,male,46445.2491,39
94,24,German,male,46445.2491,12
95,25,German,male,46445.2491,15
96,26,German,male,46445.2491,60
97,27,German,female,46445.2491,12
98,28,German,male,46445.2491,48
99,29,German,female,46445.2491,24
100,30,German,female,46445.2491,39
101,31,German,male,46445.2491,9
102,32,German,male,8717.186278,3
103,33,German,male,52331.31673,12
104,34,German,female,16731.82151,15
105,35,German,female,7411.836116,6
106,36,German,female,3659.031312,18
107,37,German,male,81993.72713,39
108,38,German,female,46445.2491,12
109,39,German,male,46445.2491,21
110,40,German,female,46445.2491,42
111,41,German,female,46445.2491,15
112,42,German,male,46445.2491,18
113,43,German,female,46445.2491,39
114,44,German,male,46445.2491,24
115,45,German,male,46445.2491,18
116,46,German,male,46445.2491,12
117,47,German,male,46445.2491,30
118,48,German,female,46445.2491,27
119,49,German,female,46445.2491,21
120,50,German,male,46445.2491,12
121,51,German,female,46445.2491,48
122,52,German,female,46445.2491,12
123,53,German,male,46445.2491,15
124,54,German,male,46445.2491,30
125,55,German,female,29600.37825,21
126,56,German,female,46194.72523,21
127,57,German,male,46445.2491,33
128,58,German,male,33228.23668,33
129,59,German,female,46445.2491,24
130,60,German,female,46445.2491,12
131,61,German,female,46445.2491,24
132,62,German,male,46445.2491,27
133,63,German,female,46445.2491,27
134,64,German,female,46445.2491,15
135,65,German,male,46445.2491,33
136,66,German,male,46445.2491,15
137,69,German,female,46445.2491,36
138,70,German,male,50137.66278,36
139,71,German,male,50137.66278,18
140,72,German,male,46445.2491,15
141,73,German,female,46445.2491,12
142,74,German,male,46445.2491,6
143,75,German,male,23723.30611,9
144,76,German,female,6428.676206,21
145,77,German,female,46445.2491,15
146,78,German,male,81993.72713,33
147,79,German,female,50137.66278,15
148,80,German,male,46445.2491,18
149,81,German,male,1507.450206,12
150,82,German,male,81993.72713,15
151,83,German,female,33228.23668,12
152,84,German,male,46445.2491,15
153,85,German,male,46445.2491,12
154,86,German,male,46445.2491,12
155,87,German,female,46445.2491,9
156,88,German,male,46445.2491,15
157,89,German,female,46445.2491,24
158,90,German,male,46445.2491,12
159,91,German,female,46445.2491,18
160,92,German,female,46445.2491,15
161,93,German,male,46445.2491,57
162,94,German,female,46445.2491,33
163,95,German,male,46445.2491,21
164,96,German,female,46445.2491,30
165,97,German,female,46445.2491,15
166,98,German,male,46445.2491,30
167,99,German,female,46445.2491,21
168,100,German,female,50137.66278,27
169,101,German,male,46445.2491,12
170,102,German,male,46445.2491,15
171,103,German,male,50137.66278,12
172,104,German,female,81993.72713,15
173,105,German,male,81993.72713,18
174,106,German,male,46445.2491,30
175,107,German,female,46445.2491,30
176,108,German,male,12919.52964,15
177,109,German,female,46445.2491,21
178,110,German,female,46445.2491,18
179,111,German,female,50137.66278,18
180,112,German,female,46445.2491,36
181,113,German,female,46445.2491,27
182,114,German,male,46445.2491,33
183,115,German,female,46445.2491,15
184,116,German,male,46445.2491,21
185,117,German,male,46445.2491,18
186,118,German,female,46445.2491,15
187,119,German,female,46445.2491,15
188,120,German,female,46445.2491,24
189,121,German,female,46445.2491,24
190,122,German,male,46445.2491,12
191,123,German,male,46445.2491,24
192,124,German,female,11584.99538,12
193,125,German,female,46445.2491,15
194,126,German,male,46445.2491,42
195,127,German,female,46445.2491,36
196,129,German,female,46445.2491,18
197,130,German,male,46445.2491,66
198,131,German,male,46445.2491,12
199,132,German,female,23494.5962,21
200,133,German,female,7411.836116,6
201,134,German,female,11584.99538,9
202,135,German,male,23494.5962,15
203,136,German,female,46445.2491,15
204,137,German,male,7411.836116,6
205,138,German,female,7411.836116,21
206,140,German,male,6001.400814,18
207,141,German,female,46445.2491,9
208,142,German,female,46445.2491,18
209,143,German,female,46445.2491,12
210,144,German,male,46445.2491,15
211,146,German,female,46445.2491,30
212,147,German,male,46445.2491,15
213,148,German,female,46445.2491,36
214,149,German,female,46445.2491,12
215,150,German,female,7411.836116,24
216,151,German,male,81993.72713,30
217,152,German,male,46445.2491,21
218,153,German,female,46445.2491,27
219,154,German,male,3019.205829,15
220,155,German,female,65297.51751,15
221,156,German,female,9812.390376,15
222,157,German,male,50137.66278,27
223,158,German,female,46445.2491,15
224,159,German,male,46445.2491,39
225,160,German,female,14936.10055,24
226,161,German,male,65297.51751,39
227,162,German,male,65297.51751,9
228,163,German,male,46445.2491,18
229,164,German,female,81993.72713,24
230,165,German,male,19266.2755,18
231,166,German,female,81993.72713,24
232,167,German,male,46445.2491,15
233,168,German,male,46445.2491,12
234,169,German,female,46445.2491,12
235,170,German,female,46445.2491,15
236,171,German,female,46445.2491,21
237,172,German,female,46445.2491,18
238,173,German,male,50137.66278,15
239,174,German,female,46445.2491,18
240,175,German,female,65297.51751,15
241,176,German,female,42330.11754,15
242,177,German,female,46445.2491,24
243,178,German,female,46445.2491,24
244,179,German,female,46445.2491,21
245,180,German,male,46445.2491,36
246,181,German,female,46445.2491,18
247,182,German,female,46445.2491,18
248,183,German,male,46445.2491,39
249,184,German,male,19582.53598,12
250,185,German,female,3659.031312,21
251,186,German,female,29600.37825,12
252,187,German,male,46445.2491,21
253,188,German,female,3659.031312,9
254,189,German,male,46445.2491,18
255,190,German,female,11584.99538,15
256,191,German,female,46445.2491,18
257,192,German,male,46445.2491,18
258,193,German,male,10261.67925,24
259,194,German,female,46445.2491,24
260,195,German,female,46445.2491,21
261,196,German,female,46445.2491,21
262,197,German,female,46445.2491,15
263,198,German,female,46445.2491,21
264,199,German,female,50137.66278,24
265,200,German,male,46445.2491,24
266,201,German,female,6428.676206,18
267,202,German,male,6001.400814,9
268,203,German,female,46445.2491,9
269,204,German,female,12919.52964,12
270,205,German,male,9126.561346,15
271,206,German,female,46445.2491,15
272,208,German,male,16731.82151,18
273,209,German,female,7411.836116,12
274,210,German,male,33228.23668,33
275,211,German,female,46445.2491,39
276,212,German,female,46445.2491,21
277,213,German,male,46445.2491,15
278,214,German,female,46445.2491,9
279,215,German,male,46445.2491,9
280,216,German,male,46445.2491,30
281,217,German,female,46445.2491,54
282,218,German,female,46445.2491,15
283,219,German,female,46445.2491,33
284,220,German,female,46445.2491,30
285,221,German,female,46445.2491,57
286,222,German,male,81993.72713,27
287,223,German,female,11584.99538,18
288,224,German,female,33228.23668,27
289,225,German,female,3659.031312,15
290,226,German,male,81993.72713,27
291,227,German,male,46445.2491,15
292,228,German,male,46445.2491,15
293,229,German,male,46445.2491,18
294,230,German,female,46445.2491,18
295,231,German,female,46445.2491,15
296,232,German,female,46445.2491,9
297,233,German,female,65297.51751,12
298,234,German,male,7411.836116,9
299,235,German,female,46445.2491,12
300,236,German,female,50137.66278,15
301,237,German,female,46445.2491,21
302,238,German,male,46445.2491,12
303,239,German,female,46445.2491,9
304,240,German,male,46445.2491,15
305,241,German,male,46194.72523,15
306,242,German,female,33228.23668,36
307,243,German,female,46445.2491,18
308,244,German,female,46445.2491,15
309,245,German,male,46445.2491,15
310,246,German,female,46445.2491,24
311,247,German,female,50137.66278,9
312,248,German,female,42330.11754,12
313,249,German,female,46445.2491,18
314,250,German,male,43592.08358,21
315,251,German,female,46445.2491,42
316,252,German,female,33228.23668,36
317,253,German,female,6663.295293,12
318,254,German,female,46445.2491,15
319,255,German,female,46445.2491,18
320,256,German,female,46445.2491,27
321,257,German,female,42330.11754,21
322,258,German,female,46445.2491,21
323,259,German,female,46445.2491,24
324,260,German,female,46445.2491,21
325,261,German,female,50137.66278,24
326,262,German,male,46445.2491,15
327,263,German,male,50137.66278,30
328,264,German,male,46445.2491,21
329,265,German,female,46445.2491,18
330,266,German,female,46445.2491,15
331,267,German,female,46445.2491,12
332,268,German,male,46445.2491,21
333,269,German,female,46445.2491,18
334,270,German,female,46445.2491,24
335,271,German,female,46445.2491,18
336,272,German,female,46445.2491,15
337,273,German,female,46445.2491,9
338,274,German,female,5414.799138,21
339,275,German,male,46445.2491,39
340,276,German,male,65297.51751,15
341,277,German,female,46445.2491,15
342,278,German,female,46445.2491,24
343,279,German,male,46445.2491,15
344,281,German,male,3659.031312,9
345,282,German,male,14936.10055,9
346,283,German,female,16731.82151,12
347,284,German,male,81993.72713,15
348,285,German,female,46445.2491,18
349,286,German,female,46445.2491,15
350,287,German,male,50137.66278,30
351,288,German,female,46445.2491,18
352,289,German,female,50137.66278,18
353,290,German,female,46445.2491,24
354,291,German,male,42330.11754,18
355,292,German,female,46445.2491,36
356,293,German,female,8717.186278,9
357,294,German,female,81993.72713,15
358,295,German,female,50137.66278,15
359,296,German,female,3659.031312,18
360,297,German,female,50137.66278,36
361,298,German,female,46445.2491,24
362,299,German,male,46445.2491,15
363,300,German,female,19266.2755,15
364,301,German,female,3659.031312,15
365,302,German,male,65297.51751,21
366,303,German,female,46445.2491,21
367,304,German,male,46445.2491,15
368,305,German,female,46445.2491,18
369,306,German,female,46445.2491,21
370,307,German,male,55060.3261,12
371,308,German,female,19582.53598,18
372,309,German,female,11584.99538,6
373,310,German,male,42330.11754,9
374,311,German,male,46445.2491,15
375,312,German,female,15692.50703,24
376,313,German,male,46445.2491,15
377,314,German,female,40493.92857,21
378,315,German,female,81993.72713,30
379,316,German,female,46445.2491,45
380,317,German,female,46445.2491,24
381,318,German,female,46445.2491,21
382,319,German,female,15692.50703,9
383,320,German,female,46445.2491,15
384,321,German,male,8717.186278,9
385,322,German,male,9946.033829,9
386,323,German,female,11584.99538,9
387,324,German,female,46445.2491,15
388,325,German,female,46445.2491,30
389,326,German,female,46445.2491,18
390,327,German,female,46445.2491,21
391,328,German,female,46445.2491,12
392,329,German,male,65297.51751,18
393,330,German,male,9126.561346,9
394,331,German,male,33228.23668,15
395,332,German,male,46445.2491,30
396,333,German,male,46445.2491,21
397,334,German,male,46445.2491,21
398,335,German,female,46445.2491,27
399,336,German,female,19266.2755,36
400,337,German,male,50137.66278,21
401,338,German,male,46445.2491,21
402,339,German,female,6663.295293,12
403,340,German,male,46445.2491,15
404,341,German,male,46445.2491,24
405,342,German,female,46445.2491,15
406,343,German,male,46445.2491,33
407,344,German,female,46445.2491,12
408,345,German,female,50137.66278,15
409,346,German,female,81993.72713,15
410,347,German,male,46445.2491,15
411,348,German,male,46445.2491,12
412,349,German,female,46445.2491,15
413,350,German,female,46445.2491,15
414,351,German,male,65297.51751,15
415,352,German,female,3659.031312,9
416,353,German,female,46445.2491,15
417,354,German,female,11584.99538,12
418,355,German,male,46445.2491,24
419,356,German,female,46445.2491,15
420,357,German,male,50137.66278,27
421,358,German,female,46445.2491,15
422,359,German,male,50137.66278,18
423,360,German,female,3659.031312,12
424,361,German,female,7411.836116,15
425,362,German,female,46445.2491,36
426,363,German,male,46445.2491,15
427,364,German,male,46445.2491,15
428,365,German,female,46445.2491,15
429,366,German,male,46445.2491,36
430,367,German,male,46445.2491,15
431,368,German,male,33228.23668,51
432,369,German,female,29600.37825,36
433,370,German,male,3659.031312,12
434,371,German,male,46445.2491,15
435,372,German,male,11584.99538,24
436,373,German,female,46445.2491,21
437,374,German,female,81993.72713,9
438,375,German,male,46445.2491,12
439,376,German,male,46445.2491,12
440,377,German,female,3659.031312,9
441,378,German,female,46445.2491,24
442,379,German,female,46445.2491,12
443,380,German,female,50137.66278,12
444,381,German,female,7411.836116,12
445,382,German,male,46445.2491,12
446,383,German,male,42330.11754,12
447,384,German,female,10261.67925,15
448,385,German,female,23494.5962,15
449,386,German,female,33228.23668,12
450,387,German,female,46445.2491,30
451,389,German,female,40493.92857,24
452,390,German,female,9828.148515,18
453,391,German,male,46445.2491,15
454,392,German,male,46445.2491,30
455,393,German,female,81993.72713,27
456,394,German,female,46445.2491,39
457,395,German,male,33228.23668,18
458,396,German,male,50137.66278,27
459,397,German,male,46445.2491,9
460,398,German,female,11584.99538,24
461,399,German,female,46445.2491,12
462,400,German,female,46445.2491,12
463,401,German,male,46445.2491,15
464,402,German,male,46445.2491,39
465,403,German,female,46445.2491,24
466,404,German,male,46445.2491,24
467,405,German,male,46445.2491,15
468,406,German,male,46445.2491,21
469,407,German,male,46445.2491,12
470,408,German,male,50137.66278,15
471,409,German,male,65297.51751,36
472,410,German,male,9912.281809,24
473,411,German,female,11584.99538,15
474,412,German,male,46445.2491,15
475,413,German,male,50137.66278,24
476,414,German,male,46445.2491,15
477,415,German,male,46445.2491,12
478,416,German,male,50137.66278,18
479,417,German,male,46445.2491,48
480,418,German,female,46445.2491,15
481,419,German,male,46445.2491,21
482,420,German,female,46445.2491,51
483,421,German,male,46445.2491,15
484,422,German,male,46445.2491,39
485,423,German,female,46445.2491,24
486,424,German,male,46445.2491,24
487,425,German,male,46445.2491,15
488,426,German,male,46445.2491,21
489,427,German,male,46445.2491,12
490,428,German,male,50137.66278,15
491,429,German,male,65297.51751,36
492,430,German,male,9912.281809,24
493,431,German,female,11584.99538,15
494,432,German,male,46445.2491,15
495,433,German,male,50137.66278,24
496,434,German,male,46445.2491,15
497,435,German,male,46445.2491,12
498,436,German,male,50137.66278,18
499,437,German,male,46445.2491,48
500,438,German,female,46445.2491,15
501,439,German,male,46445.2491,21
502,440,German,female,46445.2491,51
503,441,German,male,46445.2491,15
504,442,German,male,46445.2491,39
505,443,German,female,46445.2491,24
506,444,German,male,46445.2491,24
507,445,German,male,46445.2491,15
508,446,German,male,46445.2491,21
509,447,German,male,46445.2491,12
510,448,German,male,50137.66278,15
511,449,German,male,65297.51751,36
512,450,German,male,9912.281809,24
513,451,German,female,11584.99538,15
514,452,German,male,46445.2491,15
515,453,German,male,50137.66278,24
516,454,German,male,46445.2491,15
517,455,German,male,46445.2491,12
518,456,German,male,50137.66278,18
519,457,German,male,46445.2491,48
520,458,German,female,46445.2491,15
521,459,German,male,46445.2491,21
522,460,German,female,46445.2491,51
523,461,German,male,46445.2491,15
524,462,German,male,46445.2491,39
525,463,German,female,46445.2491,24
526,464,German,male,46445.2491,24
527,465,German,male,46445.2491,15
528,466,German,male,46445.2491,21
529,467,German,male,46445.2491,12
530,468,German,male,50137.66278,15
531,469,German,male,65297.51751,36
532,470,German,male,9912.281809,24
533,471,German,female,11584.99538,15
534,472,German,male,46445.2491,15
535,473,German,male,50137.66278,24
536,474,German,male,46445.2491,15
537,475,German,male,46445.2491,12
538,476,German,male,50137.66278,18
539,477,German,male,46445.2491,48
540,478,German,female,46445.2491,15
541,479,German,male,46445.2491,21
542,480,German,female,46445.2491,51
543,481,German,male,46445.2491,15
544,482,German,male,46445.2491,39
545,483,German,female,46445.2491,24
546,484,German,male,46445.2491,24
547,485,German,male,46445.2491,15
548,486,German,male,46445.2491,21
549,487,German,male,46445.2491,12
550,488,German,male,50137.66278,15
551,489,German,male,65297.51751,36
552,490,German,male,9912.281809,24
553,491,German,female,11584.99538,15
554,492,German,male,46445.2491,15
555,493,German,male,50137.66278,24
556,494,German,male,46445.2491,15
557,495,German,male,46445.2491,12
558,496,German,male,50137.66278,18
559,497,German,male,46445.2491,48
560,498,German,female,46445.2491,15
561,1,Portuguese,male,8717.186278,12
562,2,Portuguese,male,8717.186278,21
563,3,Portuguese,male,8717.186278,9
564,4,Portuguese,male,8717.186278,9
565,5,Portuguese,female,8717.186278,15
566,6,Portuguese,female,8717.186278,9
567,7,Portuguese,male,8717.186278,9
568,8,Portuguese,female,8717.186278,9
569,9,Portuguese,male,8717.186278,15
570,10,Portuguese,male,8717.186278,6
571,11,Portuguese,male,8717.186278,6
572,12,Portuguese,male,8717.186278,12
573,13,Portuguese,female,8717.186278,12
574,14,Portuguese,male,8717.186278,9
575,15,Portuguese,female,8717.186278,9
576,16,Portuguese,female,8717.186278,9
577,17,Portuguese,male,8717.186278,3
578,18,Portuguese,female,8717.186278,12
579,19,Portuguese,female,8717.186278,9
580,20,Portuguese,male,6428.676206,12
581,21,Portuguese,female,11584.99538,18
582,22,Portuguese,male,9946.033829,9
583,23,Portuguese,female,8717.186278,15
584,24,Portuguese,male,8717.186278,3
585,25,Portuguese,male,8717.186278,9
586,26,Portuguese,female,8717.186278,9
587,27,Portuguese,female,8717.186278,12
588,28,Portuguese,male,8717.186278,6
589,29,Portuguese,female,8717.186278,12
590,30,Portuguese,female,8717.186278,12
591,31,Portuguese,female,8717.186278,15
592,32,Portuguese,female,8717.186278,12
593,33,Portuguese,male,8717.186278,3
594,34,Portuguese,female,8717.186278,9
595,35,Portuguese,male,4187.250031,9
596,36,Portuguese,female,8717.186278,9
597,37,Portuguese,female,8717.186278,9
598,38,Portuguese,male,8717.186278,12
599,39,Portuguese,male,8717.186278,9
600,40,Portuguese,male,8717.186278,30
601,41,Portuguese,male,8717.186278,6
602,42,Portuguese,female,8717.186278,9
603,43,Portuguese,female,8717.186278,12
604,44,Portuguese,male,23252.05852,9
605,45,Portuguese,female,8717.186278,12
606,46,Portuguese,female,8717.186278,9
607,47,Portuguese,female,8717.186278,15
608,48,Portuguese,male,46445.2491,24
609,49,Portuguese,male,33228.23668,15
610,51,Portuguese,female,40246.88013,12
611,52,Portuguese,female,8717.186278,9
612,53,Portuguese,male,8717.186278,18
613,54,Portuguese,female,8717.186278,12
614,55,Portuguese,male,23252.05852,12
615,56,Portuguese,female,8717.186278,12
616,57,Portuguese,male,23252.05852,15
617,58,Portuguese,male,33228.23668,9
618,59,Portuguese,female,8717.186278,12
619,60,Portuguese,male,503.5707727,6
620,61,Portuguese,female,8717.186278,6
621,62,Portuguese,female,8717.186278,9
622,63,Portuguese,male,8717.186278,9
623,64,Portuguese,male,8717.186278,9
624,65,Portuguese,female,8717.186278,9
625,66,Portuguese,male,8717.186278,9
626,67,Portuguese,female,8717.186278,15
627,68,Portuguese,male,8717.186278,9
628,69,Portuguese,male,8717.186278,6
629,70,Portuguese,female,8717.186278,6
630,71,Portuguese,male,8717.186278,12
631,72,Portuguese,female,8717.186278,9
632,73,Portuguese,female,8717.186278,9
633,74,Portuguese,female,23252.05852,21
634,75,Portuguese,female,8717.186278,9
635,76,Portuguese,female,8717.186278,9
636,77,Portuguese,female,8717.186278,9
637,78,Portuguese,female,8717.186278,21
638,79,Portuguese,female,8717.186278,6
639,80,Portuguese,female,8717.186278,12
640,81,Portuguese,female,8717.186278,9
641,82,Portuguese,female,8717.186278,9
642,83,Portuguese,female,8717.186278,9
643,84,Portuguese,male,8717.186278,9
644,85,Portuguese,male,8717.186278,6
645,86,Portuguese,female,8717.186278,15
646,87,Portuguese,male,23252.05852,15
647,88,Portuguese,male,8717.186278,6
648,89,Portuguese,female,8717.186278,15
649,90,Portuguese,female,8717.186278,21
650,91,Portuguese,male,8717.186278,9
651,92,Portuguese,female,23252.05852,18
652,93,Portuguese,female,8717.186278,9
653,94,Portuguese,female,40493.92857,39
654,95,Portuguese,male,8717.186278,12
655,97,Portuguese,male,8717.186278,9
656,98,Portuguese,male,8717.186278,6
657,99,Portuguese,male,23252.05852,18
658,100,Portuguese,male,8717.186278,6
659,101,Portuguese,male,8717.186278,6
660,102,Portuguese,female,8717.186278,15
661,103,Portuguese,female,8717.186278,6
662,104,Portuguese,male,8717.186278,3
663,105,Portuguese,female,8717.186278,9
664,106,Portuguese,female,8717.186278,15
665,107,Portuguese,male,8717.186278,9
666,108,Portuguese,female,8717.186278,18
667,110,Portuguese,male,8717.186278,9
668,111,Portuguese,male,10261.67925,15
669,112,Portuguese,male,8717.186278,6
670,113,Portuguese,female,8717.186278,9
671,114,Portuguese,male,8717.186278,12
672,115,Portuguese,male,8717.186278,9
673,116,Portuguese,male,8717.186278,21
674,117,Portuguese,female,8717.186278,9
675,118,Portuguese,female,8717.186278,9
676,119,Portuguese,male,8717.186278,21
677,120,Portuguese,female,19266.2755,9
678,121,Portuguese,male,8717.186278,6
679,122,Portuguese,female,8717.186278,18
680,123,Portuguese,male,8717.186278,6
681,124,Portuguese,female,8717.186278,9
682,125,Portuguese,male,8717.186278,9
683,126,Portuguese,female,8717.186278,9
684,127,Portuguese,male,8717.186278,6
685,128,Portuguese,female,8717.186278,9
686,129,Portuguese,female,23252.05852,18
687,130,Portuguese,female,8717.186278,9
688,131,Portuguese,male,23252.05852,15
689,132,Portuguese,male,8717.186278,6
690,133,Portuguese,male,23252.05852,18
691,134,Portuguese,female,65297.51751,30
692,135,Portuguese,male,65297.51751,18
693,136,Portuguese,male,14896.45387,9
694,137,Portuguese,female,8717.186278,24
695,138,Portuguese,male,8717.186278,9
696,139,Portuguese,female,8717.186278,9
697,140,Portuguese,female,8717.186278,6
698,141,Portuguese,male,8717.186278,9
699,142,Portuguese,male,3603.781793,9
700,143,Portuguese,female,8717.186278,9
701,144,Portuguese,male,8717.186278,12
702,145,Portuguese,male,8717.186278,9
703,146,Portuguese,female,8717.186278,9
704,147,Portuguese,female,8717.186278,9
705,148,Portuguese,female,8717.186278,9
706,149,Portuguese,female,8717.186278,18
707,150,Portuguese,female,8717.186278,9
708,151,Portuguese,female,8717.186278,9
709,152,Portuguese,male,8717.186278,9
710,153,Portuguese,male,8717.186278,12
711,154,Portuguese,female,8717.186278,6
712,155,Portuguese,male,8717.186278,3
713,156,Portuguese,female,8717.186278,6
714,157,Portuguese,female,8717.186278,9
715,158,Portuguese,male,8717.186278,15
716,159,Portuguese,female,8717.186278,6
717,160,Portuguese,male,8717.186278,9
718,161,Portuguese,female,23252.05852,15
719,162,Portuguese,female,8717.186278,6
720,163,Portuguese,male,8717.186278,6
721,165,Portuguese,female,8717.186278,9
722,166,Portuguese,male,8717.186278,6
723,167,Portuguese,male,8717.186278,9
724,168,Portuguese,female,8717.186278,9
725,169,Portuguese,male,8717.186278,6
726,170,Portuguese,female,8717.186278,9
727,171,Portuguese,male,8717.186278,6
728,172,Portuguese,male,8717.186278,3
729,173,Portuguese,female,8717.186278,9
730,174,Portuguese,male,8717.186278,12
731,175,Portuguese,male,8717.186278,9
732,176,Portuguese,male,6428.676206,9
733,177,Portuguese,male,1272.490925,9
734,178,Portuguese,female,8717.186278,18
735,179,Portuguese,female,8717.186278,9
736,180,Portuguese,male,8717.186278,6
737,181,Portuguese,male,6977.695784,9
738,182,Portuguese,female,46445.2491,15
739,183,Portuguese,male,503.5707727,6
740,184,Portuguese,male,8717.186278,12
741,185,Portuguese,male,8717.186278,9
742,186,Portuguese,male,8717.186278,9
743,187,Portuguese,female,8717.186278,15
744,188,Portuguese,male,8717.186278,9
745,189,Portuguese,female,8717.186278,6
746,191,Portuguese,male,6428.676206,9
747,192,Portuguese,female,8717.186278,9
748,193,Portuguese,female,12919.52964,6
749,194,Portuguese,female,8717.186278,9
750,195,Portuguese,male,8717.186278,9
751,196,Portuguese,female,8717.186278,9
752,197,Portuguese,female,8717.186278,12
753,198,Portuguese,female,23252.05852,12
754,199,Portuguese,female,8717.186278,9
755,200,Portuguese,male,8717.186278,6
756,201,Portuguese,male,8717.186278,9
757,202,Portuguese,male,8717.186278,6
758,203,Portuguese,female,23252.05852,21
759,204,Portuguese,male,46194.72523,15
760,205,Portuguese,female,8717.186278,6
761,206,Portuguese,male,8717.186278,9
762,207,Portuguese,female,2790.726615,12
763,208,Portuguese,female,33228.23668,9
764,209,Portuguese,male,9912.281809,6
765,210,Portuguese,female,8717.186278,9
766,211,Portuguese,male,9912.281809,12
767,212,Portuguese,female,23252.05852,15
768,213,Portuguese,female,8717.186278,9
769,215,Portuguese,female,8717.186278,9
770,216,Portuguese,female,8717.186278,9
771,217,Portuguese,male,8717.186278,15
772,218,Portuguese,female,23252.05852,9
773,219,Portuguese,female,8717.186278,12
774,221,Portuguese,female,8717.186278,9
775,222,Portuguese,male,23252.05852,6
776,223,Portuguese,male,8717.186278,12
777,224,Portuguese,male,8717.186278,9
778,225,Portuguese,male,8717.186278,15
779,226,Portuguese,female,8717.186278,15
780,227,Portuguese,male,8717.186278,3
781,228,Portuguese,female,8717.186278,9
782,229,Portuguese,male,8717.186278,9
783,230,Portuguese,male,8717.186278,6
784,231,Portuguese,male,65297.51751,9
785,232,Portuguese,male,8717.186278,9
786,233,Portuguese,female,8717.186278,12
787,234,Portuguese,female,8717.186278,9
788,235,Portuguese,male,8717.186278,6
789,236,Portuguese,male,8717.186278,12
790,237,Portuguese,male,8717.186278,9
791,238,Portuguese,female,8717.186278,12
792,239,Portuguese,male,23252.05852,15
793,240,Portuguese,female,8717.186278,9
794,241,Portuguese,female,8717.186278,15
795,242,Portuguese,female,8717.186278,9
796,243,Portuguese,male,8717.186278,9
797,244,Portuguese,female,8717.186278,18
798,245,Portuguese,female,42330.11754,9
799,246,Portuguese,female,8717.186278,9
800,247,Portuguese,female,23252.05852,21
801,248,Portuguese,male,2790.726615,9
802,249,Portuguese,male,23252.05852,12
